year,month,precip_mm
2009,6,0.01
2009,7,0.04
2009,8,0.0
2009,9,0.31
2009,10,18.0
2009,11,31.54
2009,12,49.37
2010,1,53.51
2010,2,70.74
2010,3,7.69
2010,4,1.15
2010,5,1.05
2010,6,0.06
2010,7,0.04
2010,8,0.0
2010,9,0.22
2010,10,3.55
2010,11,0.49
2010,12,51.85
2011,1,48.15
2011,2,55.06
2011,3,35.62
2011,4,27.38
2011,5,3.26
2011,6,0.08
2011,7,0.04
2011,8,0.01
2011,9,0.9
2011,10,2.72
2011,11,52.96
2011,12,28.15
2012,1,92.17
2012,2,52.92
2012,3,40.77
2012,4,0.98
2012,5,1.92
2012,6,0.03
2012,7,0.04
2012,8,0.0
2012,9,0.16
2012,10,6.66
2012,11,62.6
2012,12,47.64
2013,1,113.86
2013,2,49.71
2013,3,2.19
2013,4,14.85
2013,5,3.5
2013,6,0.0
2013,7,0.05
2013,8,0.03
2013,9,0.45
2013,10,1.98
2013,11,11.6
2013,12,87.45
2014,1,33.97
2014,2,24.44
2014,3,50.71
2014,4,0.41
2014,5,11.92
2014,6,0.02
2014,7,0.05
2014,8,0.0
2014,9,0.49
2014,10,13.6
2014,11,71.26
2014,12,51.24
2015,1,84.28
2015,2,42.12
2015,3,17.12
2015,4,19.48
2015,5,0.17
2015,6,0.01
2015,7,0.05
2015,8,0.03
2015,9,0.01
2015,10,31.44
2015,11,31.66
2015,12,42.65
2016,1,45.65
2016,2,30.36
2016,3,27.31
2016,4,12.26
2016,5,2.0
2016,6,0.0
2016,7,0.05
2016,8,0.01
2016,9,0.01
2016,10,21.16
2016,11,4.37
2016,12,107.18
2017,1,24.78
2017,2,43.18
2017,3,12.78
2017,4,10.41
2017,5,0.88
2017,6,0.02
2017,7,0.05
2017,8,0.03
2017,9,0.0
2017,10,3.93
2017,11,10.67
2017,12,17.05
2018,1,81.58
2018,2,59.07
2018,3,3.68
2018,4,28.78
2018,5,5.25
2018,6,0.04
2018,7,0.05
2018,8,0.0
2018,9,0.01
2018,10,15.06
2018,11,31.25
2018,12,85.83
2019,1,65.59
2019,2,78.69
2019,3,35.99
2019,4,12.37
2019,5,0.01
2019,6,0.07
2019,7,0.05
2019,8,0.0
2019,9,0.11
2019,10,13.24
2019,11,2.79
2019,12,66.91
2020,1,117.95
2020,2,63.02
2020,3,39.03
2020,4,11.31
2020,5,5.41
2020,6,0.01
2020,7,0.05
2020,8,0.0
2020,9,0.0
2020,10,0.07
2020,11,84.99
2020,12,50.52
2021,1,51.26
2021,2,55.86
2021,3,12.53
2021,4,5.01
2021,5,0.06
2021,6,0.0
2021,7,0.05
2021,8,0.0
2021,9,0.01
2021,10,1.37
2021,11,26.87
2021,12,90.79
2022,1,116.26
2022,2,48.28
2022,3,35.67
2022,4,0.16
2022,5,0.21
2022,6,0.01
2022,7,0.05
2022,8,0.03
2022,9,0.01
2022,10,11.99
2022,11,65.49
2022,12,59.35
2023,1,107.69
2023,2,46.24
2023,3,20.31
2023,4,38.47
2023,5,6.4
2023,6,0.02
2023,7,0.05
2023,8,0.03
2023,9,0.08
2023,10,4.94
2023,11,52.34
2023,12,57.78
