year,product,geography_id,rain_mm,rain_mm_months,former_mm,former_mm_months,latter_mm,latter_mm_months,pet_mm,pet_mm_months,balance_mm,balance_mm_months,wet_days,wet_days_months,spring_tmx_c,spring_tmx_c_months,annual_tmp_c,annual_tmp_c_months,rain_mm_baseline_n,rain_mm_anomaly,rain_mm_z,rain_percent_baseline,former_mm_baseline_n,former_mm_anomaly,former_mm_z,latter_mm_baseline_n,latter_mm_anomaly,latter_mm_z,pet_mm_baseline_n,pet_mm_anomaly,pet_mm_z,balance_mm_baseline_n,balance_mm_anomaly,balance_mm_z,wet_days_baseline_n,wet_days_anomaly,wet_days_z,spring_tmx_c_baseline_n,spring_tmx_c_anomaly,spring_tmx_c_z,annual_tmp_c_baseline_n,annual_tmp_c_anomaly,annual_tmp_c_z
1936,CRU-CY4.08,CRU-CY:Israel,328.7,12,94.4,2,42.5,2,1532.7,12,-1204.0,12,42.1,12,25.291304347826085,3,19.12513661202186,12,30,-78.22000000000003,-0.797297282118785,80.77754841246437,30,30.83666666666668,0.7457842531659589,30,-17.450000000000003,-0.5901701305512446,30,30.90333333333342,1.1000654571390338,30,-109.12333333333345,-0.934793527967255,30,-5.519999999999996,-0.8005632114476758,30,0.9117753623188349,0.9893290688394341,30,-0.6092715772138675,-1.0117910576317255
1937,CRU-CY4.08,CRU-CY:Israel,487.09999999999997,12,136.1,2,42.9,2,1557.4,12,-1070.3000000000002,12,50.800000000000004,12,25.430434782608696,3,19.36109589041096,12,30,80.17999999999995,0.8172755827190503,119.70411874569939,30,72.53666666666666,1.7542980362279128,30,-17.050000000000004,-0.5766418754096688,30,55.60333333333347,1.979310957883315,30,24.57666666666637,0.2105334233956221,30,3.180000000000007,0.4611940239861624,30,1.0509057971014464,1.140293647593399,30,-0.37331229882476435,-0.6199436503867195
1938,CRU-CY4.08,CRU-CY:Israel,524.0,12,89.5,2,66.2,2,1524.5,12,-1000.5,12,57.8,12,23.04891304347826,3,18.628493150684932,12,30,117.07999999999998,1.193397670550592,128.77224024378256,30,25.936666666666675,0.6272778374104773,30,6.25,0.21137898658712195,30,22.703333333333376,0.8081701896854656,30,94.37666666666655,0.8084677630001781,30,10.18,1.4764009950248815,30,-1.330615942028988,-1.4437953527966823,30,-1.105915038550794,-1.836545455842528
1939,CRU-CY4.08,CRU-CY:Israel,501.7,12,148.0,2,97.89999999999999,2,1521.6000000000001,12,-1019.9,12,56.4,12,24.76413043478261,3,19.312602739726028,12,30,94.77999999999997,0.9660935361700127,123.29204757691929,30,84.43666666666667,2.0420993316340823,30,37.94999999999999,1.2834932065570042,30,19.803333333333512,0.7049389365616481,30,74.97666666666657,0.642279708726133,30,8.780000000000001,1.2733596008171377,30,0.3846014492753618,0.41731484465450597,30,-0.4218054495096979,-0.7004741363873502
1940,CRU-CY4.08,CRU-CY:Israel,471.5,12,108.8,2,74.2,2,1502.1000000000001,12,-1030.6,12,52.29999999999999,12,23.790217391304346,3,18.986612021857923,12,30,64.57999999999998,0.6582646187577488,115.87044136439594,30,45.23666666666667,1.0940480055902306,30,14.25,0.4819440894186381,30,0.3033333333335122,0.010797751763532608,30,64.27666666666664,0.5506192870389025,30,4.679999999999993,0.6787383749230289,30,-0.5893115942029041,-0.6394372066232326,30,-0.7477961673778033,-1.241832876143754
1941,CRU-CY4.08,CRU-CY:Israel,444.59999999999997,12,100.3,2,73.1,2,1478.2,12,-1033.6,12,48.3,12,24.365217391304352,3,19.016438356164382,12,30,37.67999999999995,0.38407263602960584,109.25980536714833,30,36.73666666666667,0.8884756517286813,30,13.149999999999991,0.44474138777930433,30,-23.59666666666658,-0.8399701619121096,30,61.27666666666664,0.524920103388277,30,0.6799999999999997,0.09862010575804706,30,-0.014311594202897737,-0.015528908491617591,30,-0.7179698330713435,-1.1923015678375122
1942,CRU-CY4.08,CRU-CY:Israel,535.6,12,19.3,2,95.0,2,1450.4,12,-914.8,12,54.800000000000004,12,24.161956521739125,3,18.917534246575343,12,30,128.68,1.3116365924705347,131.62292342475178,30,-44.26333333333332,-1.070507955657849,30,35.05,1.1854133567805798,30,-51.39666666666653,-1.82956631254737,30,180.0766666666666,1.5426077759530483,30,7.180000000000007,1.0413122931511454,30,-0.2175724637681249,-0.23607872276499434,30,-0.8168739426603828,-1.3565473613190144
1943,CRU-CY4.08,CRU-CY:Israel,560.5999999999999,12,119.6,2,156.7,2,1414.3999999999999,12,-853.8,12,59.8,12,21.2,3,18.563287671232878,12,30,153.6799999999999,1.5664618552290304,137.76663717684065,30,56.03666666666667,1.3552458199084347,30,96.74999999999999,3.2721467123686474,30,-87.39666666666676,-3.111057730636207,30,241.0766666666666,2.0651578435157676,30,12.18,1.766460129607373,30,-3.1795289855072504,-3.449973075144255,30,-1.1711205180028479,-1.9448293861710535
1944,CRU-CY4.08,CRU-CY:Israel,410.2,12,20.6,2,56.5,2,1535.1000000000001,12,-1124.9,12,49.7,12,23.95434782608696,3,18.73743169398907,12,30,3.2799999999999727,0.0334330744739145,100.80605524427405,30,-42.963333333333324,-1.0390674780084355,30,-3.450000000000003,-0.11668120059609143,30,33.30333333333351,1.185498218344959,30,-30.02333333333354,-0.2571917190457621,30,2.0800000000000054,0.3016614999657919,30,-0.42518115942029056,-0.46134618012441286,30,-0.9969764952466562,-1.6556359106269263
1945,CRU-CY4.08,CRU-CY:Israel,674.6,12,204.5,2,43.3,2,1500.6000000000001,12,-826.0,12,63.900000000000006,12,23.03804347826087,3,18.339178082191783,12,30,267.68,2.728465053407777,165.78197188636585,30,140.93666666666667,3.408550860243205,30,-16.650000000000006,-0.5631136202680931,30,-1.1966666666664878,-0.04259772399016858,30,268.87666666666655,2.303303612011564,30,16.28000000000001,2.3610813555014816,30,-1.3414855072463787,-1.455589460511835,30,-1.3952301070439432,-2.3169985248632172
